id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;ano;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos
10;11/06/2007;Segunda;15:30:00;MG;381;623.2;OLIVEIRA;Falta de ateno;Coliso frontal;(null);Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Rural;2007;9;1;4;1;5;1;4;6
10;11/06/2007;Segunda;15:30:00;MG;381;623.2;OLIVEIRA;Falta de ateno;Coliso frontal;(null);Pleno dia;Decrescente;Chuva;Dupla;Reta;Rural;2007;9;1;4;1;5;1;4;6
1032898;13/08/2007;Segunda;14:25:00;MG;40;585.5;ITABIRITO;Outras;Sada de Pista;Com Vtimas Feridas;Pleno dia;Crescente;Ceu Claro;Simples;Reta;Rural;2007;3;1;1;1;2;1;1;1
1051130;12/02/2007;Segunda;12:10:00;MA;135;11;SAO LUIS;Animais na Pista;Atropelamento de animal;Com Vtimas Fatais;Plena noite;Crescente;Ceu Claro;Simples;Reta;Urbano;2007;5;2;2;1;1;1;3;1
1066824;20/11/2007;Tera;15:30:00;CE;222;30.8;CAUCAIA;Defeito mecnico em veculo;Capotamento;Com Vtimas Feridas;Amanhecer;Decrescente;Ceu Claro;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
1069918;16/12/2007;Domingo;17:40:00;MA;230;14;BARAO DE GRAJAU;Outras;Capotamento;Com Vtimas Feridas;Anoitecer;Crescente;Chuva;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
1070971;15/03/2007;Segunda;18:10:00;PR;277;584.4;CASCAVEL;Outras;Coliso lateral;Sem Vtimas;Pleno dia;Crescente;Ceu Claro;Simples;Curva;Urbano;2007;2;1;1;1;2;1;1;2
1137914;12/08/2007;Domingo;22:30:00;ES;101;2.4;SERRA;Outras;Atropelamento de pessoa;Com Vtimas Feridas;Plena noite;Crescente;Ceu Claro;Mltipla;Reta;Urbano;2007;2;1;1;1;1;1;1;1
1179288;14/02/2007;Domingo;20:30:00;MG;251;326.2;SALINAS;Outras;Sada de Pista;Com Vtimas Feridas;Plena noite;Decrescente;Chuva;Simples;Curva;Rural;2007;3;1;2;1;1;1;2;1
1254853;22/11/2007;Quinta;21:10:00;MG;40;44.1;PARACATU;Outras;Sada de Pista;Com Vtimas Feridas;Plena noite;Crescente;Nublado;Simples;Reta;Urbano;2007;3;1;3;1;1;1;3;1
1333766;17/07/2007;Tera;14:00:00;GO;70;372;MONTES CLAROS DE GOIAS;Falta de ateno;Coliso lateral;Com Vtimas Feridas;Pleno dia;Crescente;Ceu Claro;Simples;Reta;Rural;2007;2;1;1;1;1;1;1;2
173714;11/01/2007;Segunda;10:03:00;RJ;116;305.5;RESENDE;Animais na Pista;Atropelamento de animal;Sem Vtimas;Plena noite;Crescente;Chuva;Dupla;Reta;Urbano;2007;1;1;1;1;1;1;1;1
173715;11/01/2007;Segunda;10:50:00;RJ;101;321.5;NITEROI;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Plena noite;Decrescente;Chuva;Dupla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
173720;11/01/2007;Segunda;11:45:00;RS;158;311.7;ITAARA;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Plena noite;Decrescente;Ceu Claro;Simples;Reta;Urbano;2007;4;1;1;1;4;1;1;4
173726;11/01/2007;Segunda;10:50:00;MG;116;574.9;MANHUACU;Animais na Pista;Atropelamento de animal;Sem Vtimas;Plena noite;Crescente;Nublado;Simples;Reta;Rural;2007;2;1;1;1;2;1;1;1
173730;11/01/2007;Segunda;10:05:00;MG;116;532.1;CARATINGA;Velocidade incompatvel;Sada de Pista;Sem Vtimas;Plena noite;Crescente;Nublado;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
